stt,hazard-category,product-category,hazard,product
907,chemical,"dietetic foods, food supplements, fortified foods",unauthorised substance ethylene oxide,chicken based products
908,allergens,cereals and bakery products,milk and products thereof,cakes
909,fraud,other food product / mixed,sulphur dioxide,shrimps
910,foreign bodies,"soups, broths, sauces and condiments",plastic fragment,ready to eat - cook meals
911,biological,prepared dishes and snacks,listeria monocytogenes,salads
912,allergens,confectionery,milk and products thereof,cakes
913,biological,prepared dishes and snacks,listeria monocytogenes,chicken based products
914,foreign bodies,prepared dishes and snacks,plastic fragment,ready to eat - cook meals
915,chemical,other food product / mixed,other,cbd products
916,chemical,non-alcoholic beverages,listeria monocytogenes,cakes
917,chemical,non-alcoholic beverages,milk and products thereof,ice cream
918,foreign bodies,"meat, egg and dairy products",plastic fragment,chicken based products
919,biological,seafood,listeria monocytogenes,salmon
920,biological,fruits and vegetables,clostridium botulinum,salmon
921,foreign bodies,ices and desserts,plastic fragment,ice cream
922,chemical,prepared dishes and snacks,unauthorised substance ethylene oxide,sesame seeds
923,biological,fruits and vegetables,soybeans and products thereof,ice cream
924,biological,seafood,listeria monocytogenes,salads
925,chemical,herbs and spices,unauthorised substance ethylene oxide,chicken based products
926,biological,"soups, broths, sauces and condiments",salmonella,onions
927,foreign bodies,fruits and vegetables,metal fragment,ice cream
928,biological,"dietetic foods, food supplements, fortified foods",salmonella,ice cream
929,allergens,cereals and bakery products,milk and products thereof,cakes
930,allergens,fruits and vegetables,sulphur dioxide and sulphites,dried apricots
931,chemical,prepared dishes and snacks,unauthorised substance ethylene oxide,chicken based products
932,allergens,"meat, egg and dairy products",listeria monocytogenes,cheese
933,allergens,"cocoa and cocoa preparations, coffee and tea",listeria monocytogenes,ice cream
934,allergens,"dietetic foods, food supplements, fortified foods",milk and products thereof,coconuts
935,fraud,fruits and vegetables,sulphur dioxide,dates
936,foreign bodies,"meat, egg and dairy products",metal fragment,ice cream
937,allergens,"nuts, nut products and seeds",mustard and products thereof,cakes
938,allergens,prepared dishes and snacks,milk and products thereof,ready to eat - cook meals
939,biological,seafood,listeria monocytogenes,salmon
940,chemical,seafood,listeria monocytogenes,ready to eat - cook meals
941,allergens,"cocoa and cocoa preparations, coffee and tea",eggs and products thereof,dark chocolates
942,allergens,cereals and bakery products,peanuts and products thereof,corn
943,foreign bodies,cereals and bakery products,salmonella,ice cream
944,organoleptic aspects,"nuts, nut products and seeds",salmonella,cakes
945,allergens,cereals and bakery products,milk and products thereof,cakes
946,fraud,seafood,inspection issues,Catfishes (freshwater)
947,biological,"meat, egg and dairy products",salmonella,ready to eat - cook meals
948,fraud,"meat, egg and dairy products",milk and products thereof,chicken based products
949,biological,fruits and vegetables,listeria monocytogenes,salads
950,allergens,"cocoa and cocoa preparations, coffee and tea",milk and products thereof,dark chocolates
951,foreign bodies,"meat, egg and dairy products",plastic fragment,chicken based products
952,other hazard,fruits and vegetables,listeria monocytogenes,ready to eat - cook meals
953,allergens,cereals and bakery products,cereals containing gluten and products thereof,cakes
954,allergens,"meat, egg and dairy products",eggs and products thereof,ice cream
955,biological,fruits and vegetables,listeria monocytogenes,ready to eat - cook meals
956,biological,fruits and vegetables,listeria monocytogenes,fresh mushrooms
957,biological,fruits and vegetables,listeria monocytogenes,fresh mushrooms
958,allergens,fruits and vegetables,sulphur dioxide and sulphites,dried apricots
959,biological,"meat, egg and dairy products",listeria monocytogenes,cheese
960,biological,seafood,norovirus,oysters
961,other hazard,confectionery,milk and products thereof,jellies
962,allergens,non-alcoholic beverages,milk and products thereof,coconuts
963,chemical,cereals and bakery products,milk and products thereof,cookies
964,biological,seafood,norovirus,oysters
965,biological,"nuts, nut products and seeds",salmonella,poppy
966,biological,confectionery,salmonella,ice cream
967,allergens,cereals and bakery products,milk and products thereof,coconuts
968,biological,"nuts, nut products and seeds",salmonella,poppy
969,allergens,cereals and bakery products,milk and products thereof,cookies
970,allergens,"soups, broths, sauces and condiments",cereals containing gluten and products thereof,cakes
971,biological,seafood,salmonella,shrimps
972,foreign bodies,"meat, egg and dairy products",plastic fragment,chicken based products
973,organoleptic aspects,"meat, egg and dairy products",salmonella,oysters
974,allergens,"soups, broths, sauces and condiments",soybeans and products thereof,cakes
975,biological,"nuts, nut products and seeds",salmonella,peanuts
976,biological,"nuts, nut products and seeds",listeria monocytogenes,ready to eat - cook meals
977,biological,"nuts, nut products and seeds",salmonella,peanuts
978,allergens,ices and desserts,milk and products thereof,ice cream
979,allergens,"dietetic foods, food supplements, fortified foods",peanuts and products thereof,cookies
980,biological,"nuts, nut products and seeds",salmonella,peanuts
981,allergens,fruits and vegetables,eggs and products thereof,salads
982,biological,seafood,norovirus,oysters
983,biological,"meat, egg and dairy products",salmonella,infant formula
984,biological,ices and desserts,norovirus,ice cream
985,allergens,"dietetic foods, food supplements, fortified foods",plastic fragment,ice cream
986,allergens,"soups, broths, sauces and condiments",glass fragment,ready to eat - cook meals
987,fraud,"meat, egg and dairy products",inspection issues,ready to eat - cook meals
988,chemical,honey and royal jelly,milk and products thereof,ice cream
989,allergens,herbs and spices,salmonella,ice cream
990,allergens,fruits and vegetables,cereals containing gluten and products thereof,cakes
991,allergens,"cocoa and cocoa preparations, coffee and tea",milk and products thereof,chocolate products
992,allergens,"meat, egg and dairy products",milk and products thereof,chicken based products
993,biological,herbs and spices,salmonella,ice cream
994,biological,seafood,listeria monocytogenes,salmon
995,chemical,confectionery,salmonella,cheese
996,allergens,"cocoa and cocoa preparations, coffee and tea",milk and products thereof,dark chocolates
